relevance_score,score_reason,url,title,snippet,site_group,engine,people_names,people_titles,people_companies
8,"The candidate is a Country Managing Partner in Tokyo, which is a strong match for the Country Manager role and location.",https://community.ionanalytics.com/mergermarket-ma-forum-japan-2024/speakers,Speakers | Mergermarket M&A Forum Japan 2024,<strong>Masahiko (“Masa”) Ishida</strong> is a Country Managing Partner and head of the Japan corporate group in DLA Piper’s Tokyo office. Masa has a wide range of M&amp;A and Private Equity experience in the Japanese market and abroad over his 20 year career.,conference_and_events,brave,Masahiko Ishida,Country Managing Partner,DLA Piper
5,"The candidate is a Group Leader in HRM Solutions at Toshiba, indicating some relevance to HR leadership in Japan.",https://jinjibu.jp/hr-conference/202211/interview.php,講演者インタビュー｜日本の人事部「ＨＲカンファレンス2022-秋-」,東芝デジタルソリューションズ株式会社 ICTソリューション事業部 HRMソリューション部 グループ長<strong>冷水 明氏</strong>,conference_and_events,brave,冷水 明,グループ長,東芝デジタルソリューションズ株式会社
3,"The candidate has leadership experience in talent management in Japan, which is tangentially related to HR roles.",https://sushitech-startup.metro.tokyo.lg.jp/2024/en/speakers/,Session Speakers | SusHi Tech Tokyo 2024 Global Startup Program,"Upon returning to Japan, Erika took a leadership role in talent management at Geometry Ogilvy Japan — part of the WPP Group. She later started consulting independently as a freelancer but wanted to scale up the positive impact she was making for her clients. This led her to co-found Sollective in 2020, taking advantage of her blend of global business perspectives, modern HR expertise, and her innate desire to improve work in Japan.",conference_and_events,brave,Erika,freelancer,Geometry Ogilvy Japan
1,"The candidate is associated with an HR summit but has no specified role or company, making the relevance weak.",https://www.july25.hrjapansummit.com/,"Home - HR Japan Summit 2025, marcus evans Summits",<strong>Marcus Evans</strong> {{labels.meGroupTagline}} · Copyright © 2026 <strong>Marcus Evans</strong> Group,conference_and_events,brave,Marcus Evans,,Marcus Evans Group
1,"The candidate is listed as a speaker for a seminar on social insurance procedures, which is a very tangential HR topic.",https://www.rosei.jp/seminarstore,人事労務に役立つセミナー一覧｜労政時報セミナーストア,■開催時間変更のお知らせ · ・2月12日開催『「出産・育児・介護」に関する社会保険の手続き』<strong>高橋 克郎</strong> 氏は、半日開催から一日開催に変更となります。,conference_and_events,brave,高橋 克郎,,
0,No person identified in result,https://www.robertwalters.co.jp/en/human-resources/jobs.html,Human Resources Jobs in Japan | Robert Walters,"<strong>We recruit human resource professionals for both permanent and contract roles across Japan</strong>. With strong networks in Tokyo and Osaka, we support multinational firms, large corporations, and SMEs across a wide range of industries. We also partner with public sector organisations.",professional_profiles,brave,,,
0,No person identified in result,"https://www.glassdoor.com/Job/japan-human-resources-manager-jobs-SRCH_IL.0,5_IN123_KO6,29.htm","97 human resources manager Jobs in Japan, January 2026 | Glassdoor",Human Resources and General Administration Department. Solid line to local CEO and dot line to RO CHRO.,professional_profiles,brave,,,
0,No person identified in result,https://www.robertwalters.co.jp/en/human-resources/hrbp-jobs.html,HRBP Jobs in Human Resources | Robert Walters Japan,"With strong networks in Tokyo and Osaka, we support multinational firms, large corporations, and SMEs across a wide range of industries. We also partner with public sector organisations. Our roles are tailored for skilled professionals who speak Japanese and are seeking HR opportunities in Japan’s key business hubs.",professional_profiles,brave,,,
0,No person identified in result,https://www.roberthalf.com/jp/en/human-resources,Japan’s Leading Human Resources Recruitment Agency | Robert Half,"We have a growing number of high-level HR positions, including HR Manager, HR Director, Senior HR Business Partner (HRBP), Talent Acquisition Manager, C&amp;B Manager, Talent Management/Organizational Development, and Global HRIS (Human Resources Information Systems).",professional_profiles,brave,,,
0,No person identified in result,"https://www.glassdoor.com/Job/tokyo-hr-director-jobs-SRCH_IL.0,5_IC2851580_KO6,17.htm",Hr director Jobs in Tokyo | Glassdoor,Search Hr director jobs in Tokyo with company ratings &amp; salaries. 9 open jobs for Hr director in Tokyo.,professional_profiles,brave,,,
0,No person identified in result,"https://www.glassdoor.com/Job/tokyo-hr-manager-jobs-SRCH_IL.0,5_IC2851580_KO6,16.htm","Hr manager Jobs in Tokyo, September 2022 | Glassdoor",職務内容 Roles and Responsibilities HRBPチーム PwCJapan各サービスラインのビジネスパートナーとして、人事制度の設計・評価・タレントマネジメント等を実施しています 部門のリーダーパートナー、人事担当リーダー、グローバルチームとの連携を持ち……,professional_profiles,brave,,,
0,No person identified in result,https://www.linkedin.com/jobs/human-resources-jobs-tokyo,"640 Human Resources jobs in Tokyo, Japan","Sr. HRBP, Corporate, Human Resources, Corporate",professional_profiles,brave,,,
0,No person identified in result,https://makanapartners.com/2021/07/07/5-game-changing-hr-opportunities-in-tokyo/,5 Game-Changing HR Opportunities in Tokyo – Makana Partners,"Role: <strong>this role reports to the VP of Corporate (HR, GA, compliance) and will be responsible for all areas of HR while managing a sizable team</strong>. There will be key projects in the areas of talent management, performance management, 360 survey, etc.",professional_profiles,brave,,,
0,No person identified in result,https://www.michaelpage.co.jp/en/jobs/head-hr/tokyo,Head Hr jobs in Tokyo | Michael Page,<strong>日常的な人事プロセスを見直し、業務効率と従業員体験の質を高めるHR戦略の構築・実行をお任せします</strong>。 日本オフィスの人事チームをリードしながら、HRBPとしてビジネス目標と...,professional_profiles,brave,,,
0,No person identified in result,https://builtin.com/jobs/as/japan/tokyo/hr/search/hr,Best Human Resource Jobs in Tokyo 2025 | Built In,"<strong>The HRBP Manager executes talent strategy, supports employee engagement, and collaborates with leadership on HR solutions while ensuring compliance and managing business processes</strong>.",professional_profiles,brave,,,
0,No person identified in result,https://jinjibu.jp/hr-conference/,ＨＲカンファレンス｜人と組織を伸ばすHRイベント,全国のビジネスリーダーが一堂に集い、 人・組織・経営について学び、考え、つながる、日本で唯一の場 · 「ＨＲカンファレンス2025-秋-」 講演レポートを公開中,conference_and_events,brave,,,
