relevance_score,score_reason,flag,url,title,snippet,site_group,engine,people_names,people_titles,people_companies,people_linkedin,people_employment_types,people_seniorities
10,CHRO with 35 years of experience is a perfect match for role and seniority.,green,https://jp.linkedin.com/in/tatsuya-sugawara-57275a28,Tatsuya Sugawara - CHRO - LinkedIn,International CHRO with 35 years of experience driving organizational change across all levels—from factory floors to corporate HQs and global joint ...,professional_profiles,serper,Tatsuya Sugawara,CHRO,,https://jp.linkedin.com/in/tatsuya-sugawara-57275a28,unknown,c_level
10,"CHRO at LegalOn Technologies is a perfect match for role and seniority, likely a global company.",green,https://jp.linkedin.com/in/hirokazu-tanaka-8236b417,Hirokazu Tanaka - CHRO at LegalOn Technologies | LinkedIn,Chief Human Resources Officer · Executive General Manager · Deputy General Manager · Executive Manager · Head of HR · Global HR General Manager · Global HR Director.,professional_profiles,serper,Hirokazu Tanaka,CHRO,LegalOn Technologies,https://jp.linkedin.com/in/hirokazu-tanaka-8236b417,unknown,c_level
10,"CHRO at Hitachi is a perfect match for role and seniority, and Hitachi is a global company.",green,https://jinjibu.jp/hr-conference/202311/index.php,日本の人事部「ＨＲカンファレンス2023-秋-」,株式会社日立製作所 執行役専務/CHRO 人財統括本部長 コーポレートコミュニケーション責任者,conference_and_events,brave,,執行役専務/CHRO 人財統括本部長 コーポレートコミュニケーション責任者,株式会社日立製作所,,unknown,c_level
10,"CHRO at Cainz is a perfect match for role and seniority, though Cainz's global presence is unclear.",green,https://jinjibu.jp/hr-conference/202211/index.php,日本の人事部「ＨＲカンファレンス2022-秋-」,株式会社カインズ 執行役員 CHRO(最高人事責任者） 兼 人事戦略本部長 兼 CAINZアカデミア学長/株式会社ハンズ 取締役,conference_and_events,brave,,執行役員 CHRO(最高人事責任者） 兼 人事戦略本部長 兼 CAINZアカデミア学長/株式会社ハンズ 取締役,株式会社カインズ,,unknown,c_level
10,"Group CHRO at Panasonic Holdings is a perfect match for role and seniority, and Panasonic is a global company.",green,https://jinjibu.jp/hr-conference/202411/featured-sessions.php,注目のセッション｜日本の人事部「ＨＲカンファレンス2024-秋-」,<strong>木下 達夫氏</strong> パナソニック ホールディングス株式会社 執行役員 グループCHRO,conference_and_events,brave,木下 達夫,執行役員 グループCHRO,パナソニック ホールディングス株式会社,,unknown,c_level
10,"Perfect match for CHRO at a large Japanese company, likely with global operations.",green,https://twitter.com/kinotatsuo,木下達夫 / Tatsuo Kinoshita Panasonic Group CHRO - X,日本の人事部主催HRアワード「企業人事部門最優秀個人賞」を受賞しました。人事の成果は個人でできるものはなく、この賞は私がこれまで関わった組織変革を一緒に成し遂げた ...,social,serper,木下達夫,CHRO,Panasonic Group,,employee,c_level
10,Perfect match for CHRO at a global company (MetLife) in Japan.,green,https://www.facebook.com/metlife.co.jp/posts/%E5%BD%93%E7%A4%BE%E3%81%AE%E5%9F%B7%E8%A1%8C%E5%BD%B9-%E5%B8%B8%E5%8B%99-%E3%83%81%E3%83%BC%E3%83%95%E3%83%92%E3%83%A5%E3%83%BC%E3%83%9E%E3%83%B3%E3%83%AA%E3%82%BD%E3%83%BC%E3%82%B7%E3%82%BA%E3%82%AA%E3%83%95%E3%82%A3%E3%82%B5%E3%83%BCchro%E3%81%AE%E5%90%91%E4%BA%95%E9%BA%97%E5%AD%90%E3%81%8C%E8%87%AA%E8%BA%AB%E3%81%8C%E7%A4%BE%E4%BC%9A%E4%BA%BA%E3%81%AB%E3%81%AA%E3%81%A3%E3%81%A6%E3%81%8B%E3%82%89chro%E3%81%AB%E3%81%AA%E3%82%8B%E3%81%BE%E3%81%A7%E3%81%AE%E3%82%AD%E3%83%A3%E3%83%AA%E3%82%A2%E5%BD%A2%E6%88%90%E3%82%84%E5%AD%90%E8%82%B2%E3%81%A6%E3%82%84%E4%BB%8B%E8%AD%B7%E3%81%AB%E3%81%BE%E3%81%A4%E3%82%8F%E3%82%8B%E4%BD%93%E9%A8%93/700655372475734/,当社の執行役 常務 チーフヒューマンリソーシズオフィサー（CHRO ...,当社の執行役 常務 チーフヒューマンリソーシズオフィサー（CHRO）の向井麗子が、自身が社会人になってからCHROになるまでのキャリア形成や、子育てや ...,social,serper,向井 麗子,CHRO,MetLife,https://jp.linkedin.com/in/takashi-kodama-9a1915213,employee,c_level
9,"Head of HR, Japan at Philips is a strong match for role and location, likely multinational.",green,https://jp.linkedin.com/in/shoko-nagayama-54136410,"Shoko Nagayama - Head of HR, Japan | LinkedIn","Head of HR, Japan · 職歴: Philips · 学歴: Chuo Graduate School of Strategic Management · 場所: 東京 · LinkedInのつながり500人以上。10億人のメンバーを擁する ...",professional_profiles,serper,Shoko Nagayama,"Head of HR, Japan",,https://jp.linkedin.com/in/shoko-nagayama-54136410,unknown,head
9,"CHRO at Canly is a strong match for role and seniority, and the company is based in Tokyo.",green,https://www.wantedly.com/companies/canly/post_articles/1043322,CHRO就任のお知らせ！ | 株式会社カンリー - Wantedly,お知らせ2026/2/2カンリー、執行役員CHRO就任のお知らせ株式会社カンリー（本社：東京都品川区、代表取締役：辰巳 衛 / 秋山 祐太朗、以下カンリー）は、 ...,social,serper,,執行役員CHRO,株式会社カンリー,,unknown,c_level
9,"CHRO title is a perfect match, and the mention of a 'major foreign consulting firm' suggests international experience.",green,https://www.wantedly.com/companies/company_4213926/post_articles/973502,生成AI領域でゼロからの組織づくり。CHROが語る「人」を大切に ...,今回は、CHROの橋本佳介さんにインタビュー。 大学時代の起業経験から大手外資系コンサルティングファームでの人事経験まで、多彩なキャリアを持つ橋本 ...,social,serper,橋本佳介,CHRO,,https://jp.linkedin.com/in/%E4%BD%B3%E4%BB%8B-%E6%A9%8B%E6%9C%AC-1500b5158,unknown,c_level
